Time,Population
Jun-1981,5234889
Sep-1981,5249455
Dec-1981,5266894
Mar-1982,5286119
Jun-1982,5303580
Sep-1982,5315846
Dec-1982,5328221
Mar-1983,5344027
Jun-1983,5352959
Sep-1983,5363744
Dec-1983,5374915
Mar-1984,5389180
Jun-1984,5402729
Sep-1984,5416536
Dec-1984,5431752
Mar-1985,5451549
Jun-1985,5464512
Sep-1985,5478254
Dec-1985,5496467
Mar-1986,5516377
Jun-1986,5531526
Sep-1986,5549928
Dec-1986,5574251
Mar-1987,5596207
Jun-1987,5616736
Sep-1987,5639899
Dec-1987,5666219
Mar-1988,5689397
Jun-1988,5707309
Sep-1988,5730331
Dec-1988,5752254
Mar-1989,5769720
Jun-1989,5776283
Sep-1989,5785625
Dec-1989,5803079
Mar-1990,5818151
Jun-1990,5834021
Sep-1990,5849534
Dec-1990,5862497
Mar-1991,5883248
Jun-1991,5898731
Sep-1991,5916714
Dec-1991,5928072
Mar-1992,5946386
Jun-1992,5957822
Sep-1992,5970754
Dec-1992,5977823
Mar-1993,5990424
Jun-1993,5995055
Sep-1993,6009659
Dec-1993,6020171
Mar-1994,6037096
Jun-1994,6044819
Sep-1994,6063058
Dec-1994,6071872
Mar-1995,6087910
Jun-1995,6105560
Sep-1995,6124648
Dec-1995,6143971
Mar-1996,6159806
Jun-1996,6176461
Sep-1996,6196251
Dec-1996,6214548
Mar-1997,6234303
Jun-1997,6246267
Sep-1997,6260867
Dec-1997,6274966
Mar-1998,6295260
Jun-1998,6305799
Sep-1998,6324111
Dec-1998,6338790
Mar-1999,6360552
Jun-1999,6375103
Sep-1999,6393100
Dec-1999,6409971
Mar-2000,6431826
Jun-2000,6446558
Sep-2000,6465614
Dec-2000,6485081
Mar-2001,6513844
Jun-2001,6530349
Sep-2001,6544891
Dec-2001,6558484
Mar-2002,6575296
Jun-2002,6580807
Sep-2002,6590659
Dec-2002,6599441
Mar-2003,6615712
Jun-2003,6620715
Sep-2003,6627538
Dec-2003,6634509
Mar-2004,6648280
Jun-2004,6650735
Sep-2004,6660416
Dec-2004,6669206
Mar-2005,6685875
Jun-2005,6693206
Sep-2005,6707429
Dec-2005,6718023
Mar-2006,6735528
Jun-2006,6742690
Sep-2006,6766133
Dec-2006,6786160
Mar-2007,6815359
Jun-2007,6834156
Sep-2007,6859736
Dec-2007,6883852
Mar-2008,6919907
Jun-2008,6943461
Sep-2008,6972395
Dec-2008,7001782
Mar-2009,7032423
Jun-2009,7053755
Sep-2009,7079175
Dec-2009,7101504
Mar-2010,7128356
Jun-2010,7144292
Sep-2010,7162726
Dec-2010,7179891
Mar-2011,7204737
Jun-2011,7218529
Sep-2011,7239528
Dec-2011,7258722
Mar-2012,7284982
Jun-2012,7304244
Sep-2012,7327614
Dec-2012,7353189
Mar-2013,7382957
Jun-2013,7404032
Sep-2013,7430904
Dec-2013,7454938
Mar-2014,7487834
Jun-2014,7508353
Sep-2014,7536277
Dec-2014,7562171
Mar-2015,7595731
Jun-2015,7616168
Sep-2015,7645324
Dec-2015,7671401
Mar-2016,7707412
Jun-2016,7732858
Sep-2016,7767915
Dec-2016,7795625
Mar-2017,7833463
Jun-2017,7855316
Sep-2017,7884752
Dec-2017,7900946
Mar-2018,7934688
Jun-2018,7954476
Sep-2018,7984525
Dec-2018,8003564
Mar-2019,8032991
Jun-2019,8046748
Sep-2019,8071350
Dec-2019,8088361
Mar-2020,8112001
Jun-2020,8110610
Sep-2020,8098905
Dec-2020,8094300
Mar-2021,8093015
Jun-2021,8097062
Sep-2021,8089116
Dec-2021,8100840
Mar-2022,8137716
Jun-2022,8165731
Sep-2022,8205236
Dec-2022,8238801
